Temperatura inicial: 10000 | População inicial 1
117 100 96 | 117 100
117 100 404 | 109 99
117 100 132 | 90 92
109 99 611 | 98 93
117 100 574 | 77 81
117 100 1274 | 87 93
117 100 432 | 105 96
117 100 484 | 83 90
109 99 1055 | 79 85
117 100 376 | 117 100
117 100 174 | 103 95
117 100 484 | 106 100
117 100 323 | 77 81
117 100 144 | 117 100
117 100 1421 | 117 100
117 100 501 | 98 93
117 100 1311 | 78 98
117 100 82 | 77 86
117 100 850 | 73 88
117 100 1071 | 87 93
117 100 204 | 117 100
117 100 82 | 90 92
109 99 316 | 109 99
106 100 1118 | 90 92
117 100 797 | 117 100
117 100 325 | 85 95
117 100 1164 | 117 100
109 99 914 | 105 96
117 100 964 | 92 95
109 99 1288 | 97 95
117 100 1120 | 85 95
117 100 723 | 91 91
117 100 386 | 99 97
117 100 86 | 105 96
117 100 600 | 117 100
117 100 867 | 84 88
117 100 144 | 105 96
117 100 274 | 89 98
109 99 500 | 105 96
117 100 1522 | 117 100
117 100 1341 | 109 99
117 100 1254 | 105 96
117 100 250 | 117 100
117 100 519 | 117 100
117 100 314 | 85 100
117 100 907 | 80 91
117 100 1333 | 97 95
109 99 238 | 106 100
117 100 318 | 78 98
117 100 76 | 97 95
117 100 144 | 89 98
117 100 168 | 98 93
117 100 1601 | 117 100
117 100 751 | 98 93
117 100 826 | 99 97
106 100 69 | 106 100
117 100 430 | 98 93
117 100 228 | 98 93
117 100 1273 | 73 88
109 99 590 | 99 97
117 100 581 | 99 97
117 100 1601 | 117 100
117 100 541 | 117 100
117 100 366 | 89 98
117 100 941 | 98 93
117 100 459 | 109 99
117 100 206 | 77 86
117 100 394 | 84 88
117 100 1057 | 89 98
117 100 422 | 85 95
117 100 515 | 99 97
117 100 207 | 105 96
117 100 400 | 98 93
117 100 58 | 83 90
117 100 124 | 85 100
109 99 54 | 92 95
117 100 568 | 85 95
117 100 14 | 98 93
117 100 1167 | 92 95
109 99 982 | 85 95
117 100 733 | 117 100
109 99 1095 | 89 98
109 99 132 | 106 100
117 100 1112 | 105 96
117 100 292 | 117 100
117 100 272 | 105 96
117 100 148 | 99 97
109 99 146 | 91 91
117 100 472 | 90 92
117 100 973 | 105 96
117 100 212 | 117 100
117 100 1172 | 117 100
117 100 358 | 89 98
109 99 1013 | 85 95
117 100 1411 | 117 100
109 99 1255 | 98 93
117 100 1440 | 80 91
117 100 576 | 90 92
117 100 469 | 106 100
117 100 1527 | 117 100
117 100 84 | 91 91
109 99 1455 | 109 99
117 100 985 | 90 92
109 99 697 | 97 95
117 100 328 | 83 90
117 100 1202 | 73 88
117 100 1251 | 89 98
117 100 160 | 99 97
117 100 1116 | 117 100
117 100 1755 | 109 99
117 100 842 | 90 92
117 100 106 | 98 93
117 100 1176 | 98 93
117 100 118 | 105 96
117 100 703 | 79 85
117 100 1255 | 91 91
117 100 1280 | 83 90
117 100 330 | 105 96
117 100 500 | 117 100
117 100 1168 | 105 96
117 100 518 | 89 98
117 100 92 | 80 91
117 100 981 | 109 99
117 100 416 | 117 100
117 100 156 | 84 88
117 100 106 | 76 69
117 100 638 | 117 100
117 100 200 | 99 97
117 100 676 | 106 100
117 100 248 | 91 91
117 100 1403 | 106 100
117 100 318 | 92 95
117 100 478 | 98 93
117 100 110 | 105 96
117 100 162 | 99 97
117 100 370 | 109 99
117 100 1269 | 98 93
117 100 428 | 97 95
117 100 182 | 79 85
106 100 775 | 97 95
117 100 1472 | 77 86
117 100 1098 | 105 96
117 100 414 | 90 92
117 100 1809 | 117 100
117 100 1037 | 90 92
109 99 843 | 103 95
117 100 86 | 105 96
106 100 810 | 97 95
117 100 494 | 85 100
117 100 553 | 79 85
117 100 670 | 78 98
117 100 1419 | 106 100
103 95 146 | 80 91
117 100 1608 | 109 99
117 100 280 | 105 96
109 99 812 | 97 95
117 100 28 | 109 99
117 100 150 | 89 98
117 100 344 | 117 100
117 100 224 | 90 92
117 100 1498 | 91 91
109 99 136 | 106 100
117 100 1613 | 117 100
117 100 1608 | 117 100
117 100 278 | 117 100
109 99 1054 | 98 93
117 100 292 | 90 92
117 100 286 | 87 93
117 100 294 | 76 69
106 100 810 | 85 95
117 100 1178 | 73 88
117 100 166 | 97 95
117 100 518 | 109 99
109 99 449 | 109 99
117 100 893 | 91 91
117 100 398 | 99 97
117 100 200 | 91 91
117 100 1477 | 105 96
106 100 525 | 77 86
117 100 418 | 117 100
117 100 1419 | 106 100
117 100 457 | 98 93
117 100 1583 | 117 100
117 100 798 | 98 93
117 100 1235 | 98 93
109 99 705 | 98 93
117 100 186 | 106 100
117 100 94 | 87 93
117 100 322 | 90 92
117 100 1234 | 105 96
117 100 20 | 85 95
117 100 229 | 79 85
117 100 266 | 109 99
117 100 1519 | 117 100
117 100 221 | 91 91
117 100 294 | 87 93
117 100 1044 | 103 95
109 99 322 | 83 90
117 100 1165 | 117 100
117 100 508 | 117 100
117 100 130 | 117 100
109 99 969 | 89 98
117 100 1357 | 92 95
117 100 654 | 84 88
117 100 466 | 87 93
117 100 1335 | 91 91
117 100 979 | 117 100
117 100 806 | 106 100
117 100 334 | 90 92
117 100 1508 | 109 99
117 100 140 | 117 100
117 100 1235 | 79 85
117 100 352 | 109 99
117 100 188 | 117 100
117 100 335 | 109 99
117 100 132 | 99 97
117 100 1751 | 117 100
117 100 282 | 117 100
117 100 656 | 117 100
117 100 1330 | 97 95
109 99 222 | 98 93
109 99 1440 | 91 91
117 100 1408 | 105 96
117 100 244 | 106 100
109 99 549 | 97 95
117 100 561 | 105 96
117 100 76 | 79 85
117 100 302 | 77 81
117 100 1307 | 117 100
117 100 1087 | 85 100
117 100 139 | 98 93
117 100 193 | 117 100
105 96 1542 | 97 95
117 100 1390 | 105 96
117 100 148 | 117 100
109 99 1177 | 89 98
117 100 1624 | 117 100
117 100 416 | 98 93
117 100 971 | 105 96
117 100 352 | 91 91
117 100 1384 | 117 100
117 100 147 | 109 99
117 100 1519 | 109 99
117 100 804 | 89 98
117 100 492 | 89 98
117 100 476 | 91 91
109 99 62 | 99 97
117 100 196 | 97 95
117 100 134 | 90 92
117 100 374 | 78 98
117 100 1589 | 117 100
109 99 1452 | 85 95
117 100 1527 | 117 100
117 100 1499 | 91 91
117 100 978 | 85 95
117 100 1140 | 98 93
117 100 398 | 90 92
117 100 899 | 87 93
117 100 1583 | 117 100
117 100 1458 | 83 90
109 99 222 | 106 100
117 100 1115 | 80 91
117 100 1000 | 117 100
117 100 510 | 98 93
117 100 1147 | 73 88
117 100 750 | 91 91
117 100 666 | 97 95
117 100 1277 | 87 93
117 100 1467 | 109 99
117 100 838 | 98 93
117 100 1336 | 117 100
117 100 685 | 98 93
117 100 680 | 89 98
117 100 198 | 97 95
117 100 1224 | 99 97
117 100 759 | 87 93
117 100 28 | 89 98
117 100 1105 | 105 96
109 99 186 | 97 95
117 100 563 | 105 96
117 100 188 | 80 91
117 100 374 | 98 93
117 100 172 | 109 99
117 100 575 | 85 95
117 100 1541 | 103 95
117 100 230 | 103 95
117 100 102 | 89 98
117 100 510 | 77 86
117 100 1716 | 117 100
117 100 388 | 105 96
117 100 632 | 89 98
117 100 76 | 85 95
117 100 382 | 106 100
117 100 172 | 109 99
117 100 331 | 98 93
117 100 1079 | 117 100
117 100 54 | 85 95
117 100 120 | 85 100
117 100 1423 | 105 96
117 100 1480 | 90 92
117 100 1064 | 117 100
117 100 442 | 103 95
117 100 37 | 85 100
117 100 1459 | 117 100
117 100 1528 | 98 93
117 100 288 | 97 95
117 100 68 | 103 95
117 100 1577 | 109 99
117 100 1252 | 85 95
117 100 176 | 105 96
117 100 1717 | 109 99
117 100 1519 | 98 93
117 100 1231 | 98 93
117 100 132 | 97 95
117 100 1182 | 105 96
117 100 186 | 84 88
117 100 1551 | 91 91
117 100 296 | 98 93
117 100 1566 | 109 99
117 100 274 | 85 100
117 100 1414 | 91 91
117 100 1209 | 98 93
98 93 1571 | 98 93
117 100 14 | 117 100
117 100 801 | 84 88
117 100 488 | 83 90
109 99 280 | 105 96
109 99 36 | 90 92
109 99 1290 | 89 98
117 100 328 | 117 100
106 100 379 | 105 96
117 100 1109 | 109 99
117 100 360 | 109 99
117 100 200 | 79 85
117 100 346 | 117 100
117 100 958 | 106 100
117 100 1192 | 103 95
117 100 782 | 117 100
117 100 102 | 117 100
117 100 150 | 91 91
109 99 1064 | 87 93
117 100 956 | 92 95
117 100 870 | 90 92
109 99 176 | 98 93
117 100 1401 | 99 97
117 100 611 | 89 98
117 100 658 | 106 100
117 100 442 | 83 90
117 100 561 | 78 98
109 99 28 | 106 100
117 100 98 | 90 92
106 100 641 | 105 96
117 100 551 | 109 99
117 100 902 | 89 98
117 100 434 | 103 95
117 100 1183 | 98 93
117 100 991 | 91 91
117 100 700 | 92 95
117 100 1816 | 117 100
117 100 1210 | 117 100
117 100 611 | 105 96
117 100 947 | 98 93
117 100 1485 | 83 90
117 100 657 | 98 93
109 99 124 | 87 93
117 100 120 | 97 95
117 100 1818 | 117 100
117 100 1557 | 99 97
117 100 440 | 106 100
117 100 957 | 98 93
117 100 356 | 87 93
117 100 968 | 105 96
117 100 557 | 105 96
117 100 54 | 79 85
117 100 1421 | 106 100
117 100 72 | 85 95
117 100 34 | 80 91
117 100 708 | 106 100
117 100 1620 | 103 95
117 100 1775 | 117 100
117 100 1062 | 98 93
117 100 40 | 106 100
117 100 1135 | 78 98
117 100 1101 | 109 99
117 100 342 | 85 100
117 100 1341 | 89 98
117 100 1066 | 91 91
117 100 1541 | 106 100
117 100 707 | 105 96
117 100 50 | 87 93
117 100 672 | 109 99
103 95 541 | 98 93
117 100 926 | 117 100
117 100 340 | 84 88
117 100 736 | 117 100
117 100 760 | 91 91
117 100 166 | 85 100
109 99 1272 | 105 96
109 99 1254 | 85 100
109 99 144 | 91 91
117 100 964 | 105 96
117 100 215 | 80 91
109 99 869 | 89 98
117 100 539 | 106 100
117 100 437 | 105 96
117 100 1477 | 73 88
117 100 965 | 79 85
117 100 18 | 77 81
109 99 811 | 106 100
106 100 355 | 105 96
117 100 1788 | 117 100
117 100 490 | 99 97
117 100 885 | 85 100
109 99 589 | 84 88
117 100 1270 | 91 91
117 100 1241 | 98 93
117 100 1508 | 117 100
117 100 82 | 92 95
117 100 450 | 98 93
117 100 378 | 105 96
109 99 12 | 85 100
117 100 956 | 92 95
109 99 1307 | 106 100
117 100 1192 | 106 100
117 100 147 | 109 99
109 99 637 | 79 85
117 100 859 | 91 91
117 100 102 | 73 88
117 100 38 | 85 100
117 100 1472 | 79 85
117 100 112 | 117 100
117 100 507 | 91 91
117 100 1407 | 117 100
117 100 589 | 117 100
117 100 328 | 105 96
117 100 550 | 89 98
117 100 290 | 97 95
117 100 363 | 84 88
117 100 637 | 91 91
117 100 470 | 117 100
117 100 420 | 117 100
109 99 230 | 105 96
117 100 406 | 98 93
109 99 288 | 105 96
109 99 106 | 91 91
117 100 326 | 97 95
117 100 1047 | 103 95
117 100 366 | 91 91
117 100 148 | 103 95
109 99 192 | 73 88
117 100 1020 | 91 91
117 100 1405 | 105 96
117 100 1081 | 89 98
117 100 180 | 109 99
117 100 360 | 83 90
117 100 636 | 77 81
117 100 839 | 117 100
117 100 115 | 117 100
117 100 322 | 117 100
117 100 844 | 79 85
117 100 517 | 97 95
117 100 458 | 98 93
117 100 781 | 79 85
109 99 1009 | 98 93
117 100 1403 | 77 81
117 100 1596 | 109 99
117 100 382 | 89 98
117 100 1216 | 109 99
106 100 506 | 89 98
117 100 72 | 91 91
117 100 92 | 79 85
117 100 985 | 78 98
117 100 86 | 117 100
117 100 511 | 105 96
109 99 168 | 85 95
117 100 888 | 90 92
109 99 1118 | 106 100
117 100 120 | 117 100
117 100 496 | 117 100
109 99 72 | 105 96
117 100 18 | 109 99
117 100 1116 | 89 98
117 100 224 | 77 86
109 99 759 | 91 91
117 100 344 | 105 96
117 100 1181 | 117 100
117 100 1422 | 97 95
117 100 200 | 89 98
117 100 100 | 109 99
117 100 112 | 117 100
117 100 1030 | 103 95
117 100 1677 | 117 100
117 100 383 | 83 90
117 100 970 | 105 96
106 100 216 | 92 95
117 100 1222 | 117 100
117 100 98 | 109 99
117 100 605 | 97 95
117 100 1440 | 89 98
117 100 186 | 92 95
117 100 934 | 98 93
117 100 794 | 84 88
117 100 1468 | 117 100
117 100 691 | 79 85
109 99 606 | 91 91
105 96 1069 | 85 95
117 100 1443 | 89 98
117 100 484 | 105 96
106 100 610 | 98 93
117 100 1584 | 117 100
117 100 1532 | 117 100
117 100 897 | 97 95
109 99 1461 | 91 91
106 100 331 | 106 100
117 100 310 | 117 100
117 100 1615 | 117 100
117 100 768 | 77 86
117 100 454 | 77 86
117 100 1408 | 98 93
117 100 1635 | 117 100
109 99 1648 | 92 95
117 100 764 | 117 100
117 100 444 | 117 100
117 100 879 | 103 95
117 100 1409 | 79 85
117 100 1419 | 117 100
117 100 154 | 117 100
117 100 1238 | 90 92
117 100 630 | 98 93
109 99 266 | 85 95
117 100 1474 | 117 100
117 100 985 | 79 85
117 100 214 | 85 95
117 100 1473 | 97 95
117 100 1520 | 92 95
117 100 48 | 105 96
117 100 438 | 105 96
117 100 633 | 90 92
117 100 564 | 90 92
117 100 132 | 91 91
117 100 581 | 99 97
117 100 1411 | 103 95
109 99 532 | 105 96
117 100 862 | 73 88
117 100 38 | 106 100
117 100 1349 | 117 100
117 100 104 | 89 98
109 99 60 | 91 91
117 100 242 | 103 95
117 100 88 | 109 99
117 100 14 | 84 88
117 100 854 | 117 100
117 100 1616 | 117 100
117 100 654 | 85 100
117 100 604 | 79 85
117 100 226 | 103 95
117 100 12 | 73 88
109 99 1337 | 83 90
117 100 282 | 106 100
117 100 231 | 89 98
117 100 1153 | 98 93
117 100 122 | 98 93
117 100 605 | 117 100
117 100 1305 | 105 96
117 100 70 | 83 90
117 100 260 | 98 93
117 100 130 | 103 95
117 100 604 | 97 95
117 100 162 | 98 93
117 100 138 | 105 96
117 100 208 | 98 93
117 100 1522 | 90 92
117 100 707 | 103 95
117 100 140 | 91 91
117 100 172 | 105 96
106 100 941 | 106 100
117 100 1373 | 105 96
117 100 710 | 117 100
117 100 246 | 90 92
117 100 278 | 98 93
117 100 1157 | 83 90
117 100 1162 | 77 81
117 100 208 | 90 92
117 100 662 | 106 100
117 100 1471 | 85 100
117 100 709 | 87 93
117 100 330 | 89 98
117 100 624 | 105 96
109 99 1075 | 89 98
117 100 359 | 97 95
109 99 684 | 98 93
117 100 905 | 117 100
117 100 1475 | 84 88
117 100 1039 | 98 93
117 100 718 | 97 95
117 100 503 | 85 100
109 99 90 | 91 91
109 99 96 | 92 95
117 100 1498 | 80 91
109 99 1254 | 106 100
117 100 980 | 98 93
117 100 286 | 83 90
117 100 962 | 91 91
117 100 814 | 77 86
117 100 602 | 98 93
117 100 1084 | 90 92
109 99 1143 | 99 97
109 99 965 | 106 100
117 100 843 | 97 95
117 100 40 | 109 99
117 100 619 | 99 97
117 100 1678 | 117 100
117 100 725 | 83 90
117 100 344 | 109 99
117 100 757 | 92 95
117 100 1631 | 117 100
117 100 1363 | 97 95
117 100 1656 | 117 100
117 100 571 | 99 97
117 100 1317 | 117 100
117 100 146 | 117 100
117 100 318 | 117 100
109 99 64 | 79 85
109 99 1404 | 90 92
117 100 584 | 105 96
117 100 999 | 97 95
109 99 1409 | 99 97
117 100 1471 | 89 98
117 100 138 | 117 100
117 100 1005 | 117 100
117 100 1210 | 79 85
117 100 296 | 105 96
117 100 929 | 117 100
117 100 1019 | 117 100
117 100 1504 | 73 88
117 100 1488 | 78 98
106 100 1162 | 99 97
117 100 364 | 109 99
117 100 1120 | 78 98
117 100 60 | 105 96
117 100 130 | 90 92
117 100 1013 | 78 98
117 100 326 | 89 98
117 100 148 | 117 100
117 100 607 | 85 95
117 100 1405 | 87 93
117 100 478 | 77 81
117 100 164 | 105 96
117 100 714 | 89 98
117 100 343 | 117 100
117 100 480 | 80 91
117 100 1031 | 91 91
117 100 1195 | 117 100
109 99 754 | 89 98
117 100 609 | 78 98
106 100 135 | 78 98
117 100 156 | 105 96
117 100 1301 | 105 96
117 100 1471 | 79 85
117 100 114 | 117 100
117 100 74 | 117 100
117 100 1398 | 97 95
117 100 396 | 99 97
109 99 1375 | 73 88
117 100 406 | 103 95
117 100 247 | 117 100
109 99 358 | 78 98
117 100 246 | 105 96
117 100 573 | 117 100
117 100 1748 | 117 100
109 99 616 | 85 95
117 100 336 | 89 98
117 100 1436 | 90 92
117 100 122 | 87 93
117 100 262 | 77 81
117 100 404 | 105 96
117 100 921 | 109 99
117 100 188 | 117 100
117 100 1363 | 91 91
117 100 742 | 105 96
109 99 48 | 77 81
117 100 826 | 105 96
117 100 603 | 98 93
117 100 816 | 109 99
109 99 448 | 85 95
117 100 470 | 90 92
117 100 765 | 105 96
117 100 835 | 109 99
117 100 66 | 89 98
117 100 225 | 105 96
117 100 96 | 78 98
117 100 1338 | 117 100
117 100 264 | 83 90
117 100 984 | 80 91
117 100 308 | 103 95
117 100 1087 | 98 93
117 100 1040 | 79 85
117 100 1491 | 79 85
117 100 236 | 117 100
117 100 162 | 117 100
117 100 244 | 97 95
117 100 1607 | 103 95
117 100 1472 | 109 99
117 100 244 | 117 100
117 100 1509 | 117 100
117 100 40 | 106 100
117 100 1625 | 117 100
117 100 224 | 80 91
106 100 679 | 77 81
117 100 778 | 117 100
117 100 440 | 109 99
117 100 965 | 105 96
106 100 1269 | 103 95
117 100 1244 | 89 98
117 100 182 | 91 91
117 100 214 | 105 96
117 100 1127 | 85 100
117 100 826 | 98 93
117 100 240 | 87 93
117 100 830 | 97 95
117 100 52 | 97 95
117 100 1754 | 103 95
106 100 1157 | 105 96
117 100 540 | 77 86
117 100 1520 | 98 93
117 100 184 | 99 97
117 100 1328 | 117 100
117 100 1301 | 99 97
117 100 1591 | 117 100
117 100 1050 | 105 96
117 100 1604 | 109 99
117 100 18 | 89 98
109 99 1258 | 89 98
109 99 742 | 85 95
117 100 322 | 92 95
117 100 304 | 85 95
117 100 1214 | 89 98
109 99 1050 | 99 97
117 100 1061 | 91 91
117 100 530 | 106 100
106 100 1507 | 97 95
117 100 302 | 97 95
117 100 1538 | 117 100
117 100 1404 | 109 99
117 100 306 | 89 98
117 100 1485 | 117 100
109 99 720 | 89 98
117 100 784 | 117 100
117 100 980 | 97 95
117 100 633 | 91 91
117 100 579 | 97 95
117 100 767 | 117 100
117 100 1574 | 92 95
117 100 356 | 83 90
Media das Iteracoes: -731907
Valor: 117 - Aparece 859 vezes
Valor: 109 - Aparece 107 vezes
Valor: 106 - Aparece 26 vezes
Valor: 105 - Aparece 4 vezes
Valor: 103 - Aparece 3 vezes
Valor: 98 - Aparece 1 vezes
Valor: 0 - Aparece 1 vezes
Porcentagem de ocorrências do maior valor em relação a todos os outros: 85.8142%

